ID,Station (ft),WSE 'Max' (feet)
1195,817.284,362.142
1196,818.149,362.136
1197,818.979,362.132
1198,819.741,362.127
1199,820.435,362.123
1200,821.108,362.118
1201,821.82,362.112
1202,822.388,362.106
1203,822.581,362.105
1204,823.371,362.102
1205,824.175,362.099
1206,824.987,362.095
1207,825.593,362.093
1208,825.803,362.093
1209,826.616,362.09
1210,827.424,362.088
1211,828.238,362.085
1212,828.29,362.084
1213,829.07,362.077
1214,829.928,362.069
1215,830.808,362.061
1216,831.69,362.061
1217,832.557,362.061
1218,833.207,362.061
1219,833.399,362.06
1220,834.217,362.059
1221,835.007,362.057
1222,835.393,362.055
1223,835.779,362.054
1224,836.556,362.05
1225,836.567,362.05
1226,836.717,362.049
1227,837.359,362.047
1228,838.195,362.044
1229,838.999,362.041
1230,839.052,362.041
1231,839.916,362.038
1232,840.371,362.035
1233,840.634,362.034
1234,840.779,362.034
1235,841.632,362.03
1236,842.227,362.028
1237,842.471,362.027
1238,843.304,362.023
1239,844.142,362.019
1240,844.989,362.014
1241,845.416,362.013
1242,845.823,362.011
1243,845.844,362.01
1244,846.707,362.001
1245,847.57,361.992
1246,848.434,361.985
1247,849.298,361.984
1248,850.162,361.984
1249,850.592,361.983
1250,850.74,361.983
1251,851.023,361.983
1252,851.872,361.982
1253,852.706,361.98
1254,853.526,361.977
1255,854.342,361.975
1256,855.153,361.972
1257,855.552,361.971
1258,855.951,361.97
1259,856.344,361.969
1260,856.736,361.967
1261,857.519,361.964
1262,858.303,361.96
1263,859.097,361.955
1264,859.205,361.954
1265,859.926,361.954
1266,860.798,361.953
1267,861.682,361.952
1268,862.024,361.951
1269,862.277,361.951
1270,862.581,361.95
1271,863.519,361.948
1272,863.711,361.948
1273,864.464,361.947
1274,864.626,361.947
1275,865.349,361.942
1276,866.157,361.935
1277,866.922,361.929
1278,867.68,361.924
1279,868.449,361.923
1280,869.235,361.923
1281,870.037,361.922
1282,870.78,361.921
1283,870.851,361.921
1284,871.662,361.919
1285,872.058,361.917
1286,872.454,361.915
1287,872.705,361.914
1288,872.782,361.914
1289,872.812,361.913
1290,872.833,361.913
1291,873.213,361.911
1292,873.947,361.909
1293,874.68,361.907
1294,875.434,361.905
1295,875.619,361.904
1296,875.69,361.904
1297,875.824,361.903
1298,876.024,361.902
1299,876.215,361.902
1300,877.003,361.898
1301,877.087,361.898
1302,877.138,361.898
1303,877.785,361.895
1304,878.579,361.891
1305,879.415,361.888
1306,879.611,361.888
1307,880.296,361.886
1308,881.201,361.884
1309,882.113,361.882
1310,882.189,361.882
1311,883.026,361.878
1312,883.483,361.875
1313,883.939,361.873
1314,884.282,361.872
1315,884.424,361.871
1316,884.852,361.869
1317,885.764,361.865
1318,886.676,361.86
1319,887.593,361.857
1320,888.514,361.854
1321,888.976,361.852
1322,889.438,361.85
1323,890.364,361.847
1324,890.93,361.845
1325,891.288,361.842
1326,892.211,361.834
1327,893.122,361.827
1328,894.015,361.82
1329,894.887,361.814
1330,895.213,361.811
1331,895.746,361.807
1332,896.574,361.805
1333,896.602,361.805
1334,897.464,361.803
1335,898.331,361.801
1336,899.204,361.799
1337,900.086,361.797
1338,900.178,361.797
1339,900.984,361.789
1340,901.897,361.781
1341,902.822,361.772
1342,903.755,361.77
1343,904.554,361.769
1344,904.689,361.769
1345,904.881,361.769
1346,905.624,361.769
1347,905.993,361.768
1348,906.559,361.767
1349,907.494,361.763
1350,908.429,361.757
1351,909.364,361.751
1352,910.298,361.746
1353,911.232,361.742
1354,911.971,361.738
1355,912.161,361.737
1356,913.084,361.732
