ID,Station (ft),WSE 'Max' (feet)
823,568.89,364.911
824,569.721,364.9
825,570.551,364.891
826,571.397,364.885
827,572.269,364.877
828,573.171,364.874
829,574.091,364.873
830,574.864,364.87
831,575.004,364.87
832,575.883,364.867
833,576.511,364.865
834,576.716,364.863
835,577.509,364.858
836,578.284,364.852
837,579.064,364.846
838,579.868,364.841
839,580.708,364.834
840,581.581,364.83
841,582.027,364.829
842,582.472,364.828
843,582.921,364.827
844,583.369,364.825
845,583.818,364.825
846,584.266,364.823
847,584.715,364.822
848,585.163,364.821
849,585.612,364.82
850,585.698,364.819
851,586.06,364.817
852,586.508,364.813
853,586.957,364.81
854,587.854,364.803
855,588.752,364.796
856,589.652,364.79
857,590.556,364.784
858,591.463,364.779
859,592.374,364.774
860,593.288,364.769
861,594.118,364.765
862,594.203,364.764
863,595.093,364.758
864,595.112,364.758
865,596.01,364.745
866,596.455,364.739
867,596.899,364.732
868,597.343,364.726
869,597.787,364.725
870,598.681,364.725
871,599.586,364.725
872,599.688,364.725
873,600.493,364.725
874,601.384,364.723
875,602.241,364.721
876,603.057,364.717
877,603.844,364.714
878,604.625,364.711
879,605.418,364.707
880,606.252,364.703
881,606.916,364.699
882,607.138,364.698
883,608.058,364.695
884,608.988,364.691
885,609.92,364.687
886,610.852,364.682
887,611.784,364.677
888,612.489,364.672
889,612.717,364.671
890,613.649,364.664
891,614.581,364.657
892,615.049,364.654
893,615.516,364.65
894,615.992,364.647
895,616.468,364.643
896,617.483,364.638
897,618.612,364.635
898,619.832,364.632
899,621.028,364.629
900,621.719,364.627
901,622.097,364.625
902,623.046,364.619
903,623.94,364.613
904,624.831,364.608
905,625.733,364.603
906,626.628,364.599
907,627.063,364.598
908,627.498,364.597
909,627.917,364.596
910,628.336,364.594
911,629.152,364.593
912,629.317,364.592
913,629.96,364.59
914,630.649,364.589
915,630.768,364.588
916,631.175,364.586
917,631.582,364.584
918,632.409,364.579
919,633.249,364.574
920,633.673,364.572
921,634.098,364.57
922,634.524,364.567
923,634.95,364.565
924,635.804,364.562
925,636.662,364.559
926,637.521,364.557
927,638.383,364.554
928,639.25,364.552
929,639.528,364.551
930,640.119,364.536
931,640.16,364.536
932,640.747,364.533
933,640.971,364.532
934,641.789,364.529
935,642.579,364.526
936,643.358,364.522
937,644.138,364.52
938,644.951,364.519
939,645.892,364.518
940,647.099,364.518
941,647.757,364.518
942,648.574,364.513
943,649.591,364.507
