ID,Station (ft),Velocity 'Max' (feet/sec)
826,571.397,10.902
827,572.269,11.269
828,573.171,11.314
829,574.091,11.165
830,574.864,11.274
831,575.004,11.294
832,575.883,11.461
833,576.511,11.498
834,576.716,11.527
835,577.509,11.64
836,578.284,11.677
837,579.064,11.861
838,579.868,11.828
839,580.708,12.094
840,581.581,12.203
841,582.027,12.113
842,582.472,12.177
843,582.921,12.245
844,583.369,12.409
845,583.818,12.384
846,584.266,12.455
847,584.715,12.527
848,585.163,12.622
849,585.612,12.673
850,585.698,12.687
851,586.06,12.611
852,586.508,12.517
853,586.957,12.424
854,587.854,12.234
855,588.752,12.045
856,589.652,11.856
857,590.556,11.702
858,591.463,11.563
859,592.374,11.423
860,593.288,11.273
861,594.118,11.153
862,594.203,11.146
863,595.093,11.125
864,595.112,11.128
865,596.01,11.242
866,596.455,11.298
867,596.899,11.354
868,597.343,11.411
869,597.787,11.466
870,598.681,11.583
871,599.586,11.707
872,599.688,11.722
873,600.493,11.825
874,601.384,11.906
875,602.241,11.981
876,603.057,12.042
877,603.844,12.162
878,604.625,12.329
879,605.418,12.38
880,606.252,12.266
881,606.916,12.072
882,607.138,11.974
883,608.058,11.623
884,608.988,11.358
885,609.92,11.21
886,610.852,11.163
887,611.784,11.126
888,612.489,11.103
889,612.717,11.11
890,613.649,11.144
891,614.581,11.185
892,615.049,11.207
893,615.516,11.229
894,615.992,11.257
895,616.468,11.284
896,617.483,11.334
897,618.612,11.367
898,619.832,11.405
899,621.028,11.444
900,621.719,11.467
901,622.097,11.464
902,623.046,11.595
903,623.94,11.681
904,624.831,11.338
905,625.733,11.372
906,626.628,11.44
907,627.063,11.472
908,627.498,11.501
909,627.917,11.548
910,628.336,11.591
911,629.152,11.691
912,629.317,11.711
913,629.96,11.782
914,630.649,11.846
915,630.768,11.832
916,631.175,11.784
917,631.582,11.776
918,632.409,11.638
919,633.249,11.537
920,633.673,11.486
921,634.098,11.434
922,634.524,11.383
923,634.95,11.331
924,635.804,11.233
925,636.662,11.17
926,637.521,11.145
927,638.383,11.16
928,639.25,11.216
929,639.528,11.242
930,640.119,10.832
931,640.16,10.799
932,640.747,10.43
933,640.971,10.296
934,641.789,9.868
935,642.579,9.505
936,643.358,9.14
937,644.138,8.868
938,644.951,8.933
939,645.892,9.006
940,647.099,9.086
941,647.757,9.121
942,648.574,9.178
943,649.591,9.514
944,650.083,9.812
945,651.381,10.548
946,652.438,10.91
947,653.363,11.067
948,654.246,11.173
949,654.358,11.183
950,655.113,11.135
951,655.963,10.946
952,656.818,10.709
953,657.705,10.469
