ID,Station (ft),WSE 'Max' (feet)
746,514.528,365.348
747,515.325,365.341
748,515.717,365.339
749,516.108,365.337
750,516.494,365.334
751,516.881,365.33
752,517.658,365.324
753,518.465,365.319
754,519.313,365.316
755,520.185,365.315
756,521.003,365.312
757,521.055,365.312
758,521.916,365.309
759,522.794,365.306
760,522.813,365.306
761,523.704,365.299
762,524.638,365.292
763,525.575,365.284
764,526.502,365.276
765,527.416,365.268
766,528.309,365.264
767,529.165,365.261
768,529.983,365.257
769,530.117,365.256
770,530.792,365.253
771,531.249,365.251
772,531.3,365.251
773,531.626,365.247
774,532.484,365.236
775,533.325,365.226
776,534.128,365.216
777,534.919,365.206
778,535.731,365.197
779,536.572,365.191
780,537.427,365.189
781,538.285,365.186
782,538.553,365.185
783,539.142,365.183
784,539.644,365.182
785,539.995,365.181
786,540.775,365.179
787,540.836,365.179
788,541.651,365.174
789,542.444,365.169
790,543.231,365.164
791,544.025,365.16
792,544.819,365.155
793,545.601,365.151
794,546.368,365.148
795,547.127,365.144
796,547.894,365.141
797,548.691,365.137
798,549.246,365.135
799,549.534,365.132
800,550.418,365.124
801,551.325,365.116
802,552.233,365.108
803,553.133,365.101
804,554.026,365.093
805,554.92,365.091
806,555.82,365.089
807,556.724,365.086
808,557.624,365.084
809,558.512,365.082
810,558.731,365.081
811,559.387,365.076
812,560.255,365.07
813,561.119,365.064
814,561.982,365.057
815,562.849,365.051
816,563.722,365.046
817,564.597,365.04
818,565.467,365.035
819,566.334,365.03
820,567.151,365.026
821,567.196,365.025
822,568.05,365.016
823,568.89,365.008
824,569.721,364.997
825,570.551,364.989
826,571.397,364.984
827,572.269,364.975
828,573.171,364.973
829,574.091,364.972
830,574.864,364.969
831,575.004,364.969
832,575.883,364.966
833,576.511,364.964
834,576.716,364.962
835,577.509,364.957
836,578.284,364.952
837,579.064,364.946
838,579.868,364.941
839,580.708,364.935
840,581.581,364.931
841,582.027,364.93
842,582.472,364.929
843,582.921,364.928
844,583.369,364.926
845,583.818,364.925
846,584.266,364.924
847,584.715,364.923
848,585.163,364.922
849,585.612,364.921
850,585.698,364.921
851,586.06,364.918
852,586.508,364.915
853,586.957,364.912
854,587.854,364.905
855,588.752,364.899
856,589.652,364.892
857,590.556,364.887
858,591.463,364.882
859,592.374,364.878
860,593.288,364.873
861,594.118,364.869
862,594.203,364.867
863,595.093,364.862
864,595.112,364.862
865,596.01,364.85
866,596.455,364.844
867,596.899,364.838
868,597.343,364.832
869,597.787,364.831
870,598.681,364.831
871,599.586,364.831
872,599.688,364.831
873,600.493,364.83
874,601.384,364.829
875,602.241,364.826
876,603.057,364.823
877,603.844,364.82
878,604.625,364.817
879,605.418,364.814
880,606.252,364.81
881,606.916,364.806
882,607.138,364.805
883,608.058,364.802
884,608.988,364.799
885,609.92,364.795
886,610.852,364.79
887,611.784,364.784
888,612.489,364.781
889,612.717,364.779
890,613.649,364.773
891,614.581,364.766
892,615.049,364.763
893,615.516,364.76
894,615.992,364.756
895,616.468,364.753
896,617.483,364.748
897,618.612,364.745
898,619.832,364.742
899,621.028,364.739
900,621.719,364.737
901,622.097,364.735
902,623.046,364.729
903,623.94,364.724
904,624.831,364.719
905,625.733,364.714
906,626.628,364.711
907,627.063,364.709
908,627.498,364.709
909,627.917,364.707
910,628.336,364.707
911,629.152,364.705
912,629.317,364.704
913,629.96,364.703
914,630.649,364.701
915,630.768,364.7
916,631.175,364.698
917,631.582,364.697
918,632.409,364.692
919,633.249,364.687
920,633.673,364.685
921,634.098,364.683
922,634.524,364.681
923,634.95,364.678
924,635.804,364.675
925,636.662,364.673
926,637.521,364.671
927,638.383,364.668
928,639.25,364.666
929,639.528,364.665
930,640.119,364.651
931,640.16,364.651
932,640.747,364.648
933,640.971,364.648
934,641.789,364.644
935,642.579,364.641
936,643.358,364.638
937,644.138,364.635
938,644.951,364.635
939,645.892,364.634
940,647.099,364.634
941,647.757,364.634
942,648.574,364.63
943,649.591,364.624
944,650.083,364.622
945,651.381,364.619
946,652.438,364.617
947,653.363,364.617
948,654.246,364.617
949,654.358,364.617
950,655.113,364.616
951,655.963,364.614
952,656.818,364.611
953,657.705,364.608
954,658.599,364.605
955,658.631,364.605
956,659.219,364.603
957,659.376,364.602
958,659.567,364.601
959,660.487,364.598
960,661.371,364.594
961,661.605,364.593
962,662.207,364.593
963,662.996,364.592
964,663.749,364.592
965,664.486,364.589
966,665.23,364.586
967,665.991,364.583
968,666.171,364.582
969,666.763,364.579
970,667.533,364.576
971,668.295,364.573
972,669.052,364.57
973,669.81,364.567
974,670.579,364.563
975,671.368,364.56
976,672.18,364.556
977,673.01,364.553
978,673.85,364.549
979,674.688,364.545
980,674.923,364.544
981,675.514,364.536
982,676.319,364.526
983,677.109,364.517
984,677.898,364.509
985,678.692,364.509
986,679.486,364.509
987,679.918,364.508
988,680.282,364.508
989,681.082,364.508
990,681.878,364.506
991,682.665,364.503
992,683.444,364.5
993,684.209,364.496
994,684.955,364.493
