ID,Station (ft),WSE 'Max' (feet)
663,459.776,363.966
664,460.546,363.96
665,461.313,363.954
666,461.622,363.952
667,462.085,363.95
668,462.85,363.945
669,463.606,363.941
670,464.362,363.938
671,465.131,363.934
672,465.911,363.934
673,466.702,363.934
674,467.502,363.934
675,468.217,363.934
676,468.31,363.934
677,469.118,363.919
678,469.548,363.915
679,469.921,363.914
680,470.317,363.913
681,470.713,363.911
682,471.498,363.91
683,472.28,363.907
684,473.058,363.905
685,473.831,363.902
686,474.602,363.901
687,475.378,363.899
688,476.166,363.897
689,476.966,363.895
690,477.771,363.893
691,478.302,363.892
692,478.588,363.89
693,479.421,363.886
694,480.266,363.883
695,481.118,363.879
696,481.967,363.875
697,482.806,363.872
698,483.637,363.87
699,484.465,363.868
700,485.293,363.865
701,486.121,363.863
702,486.951,363.86
703,487.786,363.857
704,488.631,363.854
705,489.135,363.852
706,489.303,363.851
707,489.483,363.85
708,490.338,363.845
709,491.189,363.84
710,492.033,363.836
711,492.862,363.835
712,493.667,363.834
713,494.437,363.833
714,494.452,363.833
715,495.238,363.829
716,496.035,363.826
717,496.831,363.822
718,497.611,363.818
719,498.371,363.816
720,498.74,363.815
721,499.11,363.814
722,499.823,363.812
723,500.12,363.812
724,500.521,363.811
725,501.224,363.81
726,501.828,363.808
727,501.95,363.807
728,502.701,363.801
729,503.486,363.794
730,504.304,363.794
731,505.149,363.795
732,505.465,363.795
733,506.003,363.791
734,506.857,363.785
735,507.711,363.779
736,508.57,363.773
737,509.435,363.767
738,510.301,363.764
739,510.734,363.762
740,511.167,363.761
741,511.597,363.76
742,512.028,363.759
743,512.879,363.756
744,513.714,363.754
745,513.799,363.754
746,514.528,363.748
747,515.325,363.743
748,515.717,363.741
749,516.108,363.738
750,516.494,363.736
751,516.881,363.732
752,517.658,363.726
753,518.465,363.721
754,519.313,363.719
755,520.185,363.718
756,521.003,363.715
757,521.055,363.715
758,521.916,363.712
759,522.794,363.71
760,522.813,363.71
761,523.704,363.703
762,524.638,363.696
763,525.575,363.689
764,526.502,363.682
765,527.416,363.675
766,528.309,363.671
767,529.165,363.668
768,529.983,363.664
769,530.117,363.663
770,530.792,363.66
771,531.249,363.658
772,531.3,363.658
773,531.626,363.654
774,532.484,363.644
775,533.325,363.635
776,534.128,363.625
777,534.919,363.616
778,535.731,363.608
779,536.572,363.603
780,537.427,363.6
781,538.285,363.598
782,538.553,363.597
783,539.142,363.595
784,539.644,363.594
785,539.995,363.593
786,540.775,363.591
787,540.836,363.591
788,541.651,363.586
789,542.444,363.582
790,543.231,363.578
791,544.025,363.573
792,544.819,363.569
793,545.601,363.565
794,546.368,363.562
795,547.127,363.559
796,547.894,363.556
797,548.691,363.552
798,549.246,363.55
799,549.534,363.547
800,550.418,363.54
801,551.325,363.532
802,552.233,363.524
803,553.133,363.517
804,554.026,363.51
805,554.92,363.508
806,555.82,363.506
807,556.724,363.503
808,557.624,363.501
809,558.512,363.499
810,558.731,363.498
811,559.387,363.494
812,560.255,363.488
813,561.119,363.482
814,561.982,363.476
815,562.849,363.47
816,563.722,363.465
817,564.597,363.46
818,565.467,363.455
819,566.334,363.45
820,567.151,363.445
821,567.196,363.445
822,568.05,363.435
823,568.89,363.428
824,569.721,363.417
825,570.551,363.409
826,571.397,363.404
827,572.269,363.396
828,573.171,363.394
829,574.091,363.392
830,574.864,363.39
831,575.004,363.389
832,575.883,363.387
833,576.511,363.385
834,576.716,363.383
835,577.509,363.378
836,578.284,363.373
837,579.064,363.368
838,579.868,363.363
839,580.708,363.356
840,581.581,363.353
841,582.027,363.352
842,582.472,363.351
843,582.921,363.35
844,583.369,363.348
845,583.818,363.348
846,584.266,363.347
847,584.715,363.345
848,585.163,363.344
849,585.612,363.343
850,585.698,363.343
851,586.06,363.341
852,586.508,363.337
853,586.957,363.334
854,587.854,363.328
855,588.752,363.322
856,589.652,363.316
857,590.556,363.311
858,591.463,363.306
859,592.374,363.302
860,593.288,363.297
861,594.118,363.293
862,594.203,363.292
863,595.093,363.287
864,595.112,363.287
865,596.01,363.275
866,596.455,363.269
867,596.899,363.263
868,597.343,363.257
869,597.787,363.257
870,598.681,363.257
871,599.586,363.257
872,599.688,363.257
873,600.493,363.256
874,601.384,363.255
875,602.241,363.252
876,603.057,363.25
877,603.844,363.247
878,604.625,363.244
879,605.418,363.24
880,606.252,363.236
881,606.916,363.233
882,607.138,363.232
883,608.058,363.229
884,608.988,363.226
885,609.92,363.222
886,610.852,363.217
887,611.784,363.212
888,612.489,363.209
889,612.717,363.207
890,613.649,363.201
891,614.581,363.194
892,615.049,363.191
893,615.516,363.188
894,615.992,363.185
895,616.468,363.182
896,617.483,363.177
897,618.612,363.174
898,619.832,363.171
899,621.028,363.168
900,621.719,363.167
901,622.097,363.165
902,623.046,363.159
903,623.94,363.153
904,624.831,363.149
905,625.733,363.144
906,626.628,363.14
907,627.063,363.139
908,627.498,363.138
909,627.917,363.137
910,628.336,363.136
911,629.152,363.135
912,629.317,363.134
913,629.96,363.133
914,630.649,363.131
915,630.768,363.13
916,631.175,363.128
917,631.582,363.127
918,632.409,363.122
919,633.249,363.118
920,633.673,363.116
921,634.098,363.113
922,634.524,363.111
923,634.95,363.109
924,635.804,363.106
925,636.662,363.104
926,637.521,363.101
927,638.383,363.099
928,639.25,363.097
929,639.528,363.096
930,640.119,363.082
931,640.16,363.082
932,640.747,363.079
933,640.971,363.079
934,641.789,363.076
935,642.579,363.072
936,643.358,363.069
937,644.138,363.067
938,644.951,363.066
939,645.892,363.066
940,647.099,363.065
941,647.757,363.065
942,648.574,363.061
943,649.591,363.056
944,650.083,363.054
945,651.381,363.051
946,652.438,363.049
947,653.363,363.049
948,654.246,363.049
949,654.358,363.049
950,655.113,363.048
951,655.963,363.046
952,656.818,363.044
953,657.705,363.04
954,658.599,363.037
955,658.631,363.037
956,659.219,363.035
957,659.376,363.034
958,659.567,363.034
959,660.487,363.03
960,661.371,363.027
961,661.605,363.026
962,662.207,363.025
963,662.996,363.025
964,663.749,363.024
965,664.486,363.021
966,665.23,363.018
967,665.991,363.015
968,666.171,363.014
969,666.763,363.012
970,667.533,363.008
971,668.295,363.005
972,669.052,363.002
973,669.81,362.999
974,670.579,362.996
975,671.368,362.992
976,672.18,362.989
977,673.01,362.985
978,673.85,362.981
979,674.688,362.977
980,674.923,362.976
981,675.514,362.968
982,676.319,362.958
983,677.109,362.949
984,677.898,362.941
985,678.692,362.94
986,679.486,362.94
987,679.918,362.94
988,680.282,362.94
989,681.082,362.939
990,681.878,362.937
991,682.665,362.935
992,683.444,362.931
993,684.209,362.927
994,684.955,362.924
995,685.634,362.921
996,685.685,362.921
997,686.422,362.916
998,687.198,362.911
999,688.033,362.906
1000,688.915,362.901
1001,689.818,362.896
1002,690.725,362.893
1003,691.627,362.89
1004,692.52,362.887
1005,693.405,362.884
1006,693.523,362.883
1007,694.285,362.878
1008,695.16,362.872
1009,696.021,362.866
1010,696.859,362.86
1011,697.67,362.854
1012,698.453,362.85
1013,699.205,362.848
1014,699.93,362.845
1015,700.643,362.843
1016,701.363,362.841
1017,702.101,362.838
1018,702.178,362.838
1019,702.859,362.832
1020,703.634,362.826
1021,704.424,362.819
1022,705.228,362.812
1023,705.418,362.811
1024,706.044,362.805
1025,706.867,362.799
1026,707.691,362.797
1027,708.513,362.795
1028,709.334,362.793
1029,710.156,362.791
1030,710.988,362.789
1031,711.48,362.788
1032,711.826,362.784
1033,712.654,362.776
1034,713.464,362.768
1035,713.865,362.764
1036,714.266,362.76
1037,714.672,362.758
1038,715.078,362.757
1039,715.911,362.757
1040,716.768,362.757
1041,717.576,362.756
1042,717.654,362.756
1043,718.567,362.754
1044,719.498,362.749
1045,720.435,362.743
1046,721.357,362.738
1047,722.232,362.732
