ID,Station (ft),WSE 'Max' (feet)
964,663.749,362.783
965,664.486,362.78
966,665.23,362.776
967,665.991,362.772
968,666.171,362.771
969,666.763,362.768
970,667.533,362.764
971,668.295,362.76
972,669.052,362.756
973,669.81,362.753
974,670.579,362.749
975,671.368,362.745
976,672.18,362.741
977,673.01,362.736
978,673.85,362.732
979,674.688,362.728
980,674.923,362.726
981,675.514,362.717
982,676.319,362.706
983,677.109,362.696
984,677.898,362.687
985,678.692,362.686
986,679.486,362.686
987,679.918,362.686
988,680.282,362.686
989,681.082,362.685
990,681.878,362.683
991,682.665,362.68
992,683.444,362.676
993,684.209,362.672
994,684.955,362.668
995,685.634,362.665
996,685.685,362.665
997,686.422,362.659
998,687.198,362.654
999,688.033,362.649
1000,688.915,362.643
1001,689.818,362.637
1002,690.725,362.634
1003,691.627,362.63
1004,692.52,362.627
1005,693.405,362.623
1006,693.523,362.623
1007,694.285,362.617
1008,695.16,362.61
1009,696.021,362.604
1010,696.859,362.597
1011,697.67,362.591
1012,698.453,362.587
1013,699.205,362.584
1014,699.93,362.581
1015,700.643,362.578
1016,701.363,362.576
1017,702.101,362.573
1018,702.178,362.573
1019,702.859,362.566
1020,703.634,362.558
1021,704.424,362.55
1022,705.228,362.543
1023,705.418,362.541
1024,706.044,362.535
1025,706.867,362.527
1026,707.691,362.525
1027,708.513,362.522
1028,709.334,362.52
1029,710.156,362.518
1030,710.988,362.516
1031,711.48,362.514
1032,711.826,362.511
1033,712.654,362.501
1034,713.464,362.492
1035,713.865,362.487
1036,714.266,362.483
1037,714.672,362.48
1038,715.078,362.48
1039,715.911,362.479
1040,716.768,362.478
1041,717.576,362.478
1042,717.654,362.478
1043,718.567,362.475
1044,719.498,362.47
1045,720.435,362.463
1046,721.357,362.458
1047,722.232,362.453
1048,723.043,362.449
1049,723.798,362.445
1050,724.158,362.444
1051,724.521,362.442
1052,725.235,362.441
1053,725.957,362.439
1054,726.325,362.438
1055,726.694,362.437
1056,727.441,362.434
1057,728.192,362.43
1058,728.944,362.427
1059,729.4,362.425
1060,729.701,362.422
1061,730.088,362.419
1062,730.475,362.415
1063,731.266,362.408
1064,732.066,362.404
1065,732.869,362.404
1066,733.679,362.404
1067,734.26,362.404
1068,734.502,362.404
1069,735.343,362.403
1070,736.204,362.401
1071,737.076,362.397
1072,737.95,362.393
1073,738.821,362.389
1074,739.686,362.386
1075,740.544,362.382
1076,741.399,362.377
1077,741.898,362.372
1078,742.255,362.371
1079,743.117,362.368
1080,743.991,362.364
1081,744.885,362.36
1082,745.795,362.357
1083,746.714,362.353
1084,747.405,362.351
1085,747.427,362.35
1086,747.481,362.35
1087,747.635,362.349
1088,748.557,362.343
1089,749.479,362.336
1090,750.4,362.33
1091,751.322,362.323
1092,752.243,362.319
1093,753.162,362.317
1094,754.075,362.315
1095,754.978,362.312
1096,755.842,362.31
1097,755.873,362.31
1098,756.76,362.302
1099,757.64,362.294
1100,758.514,362.287
1101,759.388,362.284
1102,760.263,362.284
1103,761.14,362.284
1104,761.281,362.284
1105,762.017,362.282
1106,762.893,362.279
1107,763.769,362.275
1108,764.645,362.271
1109,765.52,362.268
1110,766.391,362.266
1111,767.259,362.263
1112,768.127,362.257
1113,768.203,362.257
1114,769,362.253
1115,769.436,362.251
1116,769.872,362.249
1117,770.732,362.246
1118,771.577,362.242
1119,771.954,362.241
1120,772.423,362.24
1121,773.298,362.237
1122,774.207,362.235
1123,774.369,362.234
1124,775.137,362.228
1125,776.07,362.221
1126,776.531,362.217
